name,ch.uzh.ciclassifier.features.configuration.EnvSize,ch.uzh.ciclassifier.features.configuration.LintScore,ch.uzh.ciclassifier.features.configuration.NumberOfComments,ch.uzh.ciclassifier.features.configuration.NumberOfConfigurationLines,ch.uzh.ciclassifier.features.configuration.NumberOfJobs,ch.uzh.ciclassifier.features.configuration.NumberOfNotifications,ch.uzh.ciclassifier.features.configuration.NumberOfStages,ch.uzh.ciclassifier.features.configuration.ParseScore,ch.uzh.ciclassifier.features.configuration.UniqueInstructions,ch.uzh.ciclassifier.features.configuration.UseBranches,ch.uzh.ciclassifier.features.configuration.UseCache,ch.uzh.ciclassifier.features.repository.CommitsUntilConfigAdded,ch.uzh.ciclassifier.features.repository.ConfigChangeFrequency,ch.uzh.ciclassifier.features.repository.DaysUntilConfigAdded,ch.uzh.ciclassifier.features.repository.NumberOfConfigurationFileChanges,ch.uzh.ciclassifier.features.repository.NumberOfContributors,ch.uzh.ciclassifier.features.travisci.BuildTimeAverage,ch.uzh.ciclassifier.features.travisci.BuildSuccessRatio,ch.uzh.ciclassifier.features.travisci.BuildTimeLatestAverage,ch.uzh.ciclassifier.features.travisci.ManualInteractionRatio,ch.uzh.ciclassifier.features.travisci.PullRequestRatio,ch.uzh.ciclassifier.features.travisci.TimeToFixAverage,ch.uzh.ciclassifier.features.travisci.TimeToFixLatestAverage
Netflix-Skunkworks_Scumblr,0,0,0,16,1,0,1,3,6,0,0,331,0.021778584,1007,12,25,260.1363636363636,0.46774193548387094,279.04,0.0,0.4444444444444444,960754.5,2761157.0
OHDSI_Cyclops,0,0,2,42,1,1,1,1,5,1,1,168,0.09859155,1272,119,19,792.9264705882352,0.36363636363636365,736.88,0.0,0.028089887640449437,763316.1176470588,179027.5
parse-community_parse-php-sdk,0,1,0,37,3,0,1,13,8,0,1,273,0.037333332,1058,14,48,1748.118918918919,0.5585106382978723,759.24,0.00303951367781155,0.7173252279635258,567596.0204081633,1855061.2
named-data-ndnSIM_ndnSIM,1,0,8,90,11,0,1,0,6,0,0,1276,0.004297994,1281,6,49,3684.4375,0.29508196721311475,3684.4375,0.0,0.16666666666666666,106129.5,0.0
matthiask_zivinetz,0,1,1,14,1,0,1,12,4,0,1,465,0.009859155,1469,7,1,90.18181818181819,0.8918918918918919,89.12,0.0,0.0,120212.1,599479.5
DaveMDS_nepymc,0,0,4,25,2,0,1,0,1,0,0,107,0.103174604,85,13,1,135.44444444444446,0.5,135.44444444444446,0.0,0.0,2498.0,0.0
TrigenSoftware_Argue,0,0,0,9,2,0,1,2,0,0,1,13,0.11764706,674,4,7,126.929203539823,0.4689507494646681,111.76,0.0,0.9529914529914529,792835.5294117647,0.0
moneyadviceservice_dough,0,1,0,13,1,0,1,12,4,0,1,943,0.0056338026,188,8,47,286.91812865497076,0.7485380116959064,201.16,0.0,0.7699115044247787,1057605.6315789474,4401806.5
vuex-orm_vuex-orm,0,0,0,9,2,0,1,2,3,0,0,6,0.0052870093,0,7,66,162.739221871714,0.8917721518987342,192.24,0.0,0.4075829383886256,115809.13235294117,80350.375
LabSEC_object-pkcs11,0,1,0,23,1,0,1,12,2,0,0,78,0.13106796,14,27,6,202.66666666666666,0.75,202.66666666666666,0.0,0.3333333333333333,0.0,0.0
